"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"5309717","HYDE PARK | YOU ARE HERE","21597290","Sofia",,"78756","30.3194804005298","-97.7308411338943","Entire home/apt","700","2","5","2015-09-21","0.83","4","234"
"5641626","Great Cozy 2/1 close to downtown!!","29237885","Scott",,"78756","30.3187824041861","-97.739986609133","Entire home/apt","250","3","1","2015-03-17","0.13","2","214"
"312499","Great Modern Home in Central Austin","1606567","Brooke",,"78756","30.3228414869142","-97.7371964475988","Entire home/apt","160","6","1","2012-03-15","0.02","1","310"
"5543526","Home away from home","18890567","Stephanie",,"78747","30.1474687494495","-97.7384111198556","Private room","40","1","21","2015-09-18","2.67","2","89"
"5455707","Master Suite","27950887","Jonn",,"78747","30.1506453003086","-97.7417960846751","Private room","33","1","69","2015-11-05","8.41","1","124"
"5768100","2 Bedrooms - 2-6 People!","27950887",,,"78747","30.1522520910507","-97.7414614984388","Private room","59","1","0",,,"1","22"
"8627429","Safe gated apartment for festival","38866732","Jessica",,"78747","30.1486641332958","-97.7929220878897","Shared room","65","1","0",,,"1","365"
"5660966","Crash pad and it aint bad!","27950887","Jonn",,"78747","30.1516645463391","-97.7416879615142","Shared room","22","1","32","2015-11-05","4.57","1","29"
"5499091","Private Room with shared bath","27950887","Jonn",,"78747","30.1517576714464","-97.7402737786038","Private room","27","1","32","2015-11-05","4","1","41"
"8273490","Large 2,400 sq ft for F1","2779438","Rob",,"78747","30.1549017601432","-97.7865799264789","Entire home/apt","350","2","0",,,"1","364"
"5685241","Home Sweet Home","29476848","Angie",,"78747","30.1602960215618","-97.7375617176983","Private room","80","1","1","2015-10-26","1","1","361"
